Node Type,Dependency Node Type,Relationship Type,Topological Relationship,Upstream Level
Rack,RPP,Dependency,Upstream,1
Rack,Room PDU,Dependency,Upstream,2
Rack,UPS,Dependency,Upstream,3
Rack,BESS,Dependency,Upstream,4
Rack,Switch Gear,Dependency,Upstream,5
Rack,Utility Feed,Dependency,Upstream,6
Rack,Generator,Dependency,Upstream,6
Rack,Air Zone,Dependency,Upstream,1
Rack,Air Cooling Unit,Dependency,Upstream,2
Rack,Liquid Loop,Dependency,Upstream,1
Rack,CDU,Dependency,Upstream,2
Rack,Cooling Distribution,Dependency,Upstream,3
Rack,Cooling Plant,Dependency,Upstream,4
Rack,RDHx,Dependency,Local,
Rack,DTC,Dependency,Local,
Row,RPP,Dependency,Upstream,1
Row,Room PDU,Dependency,Upstream,2
Row,UPS,Dependency,Upstream,3
Row,BESS,Dependency,Upstream,4
Row,Switch Gear,Dependency,Upstream,5
Row,Utility Feed,Dependency,Upstream,6
Row,Generator,Dependency,Upstream,6
Row,Air Zone,Dependency,Upstream,1
Row,Air Cooling Unit,Dependency,Upstream,2
Row,Liquid Loop,Dependency,Upstream,1
Row,CDU,Dependency,Upstream,2
Row,Cooling Distribution,Dependency,Upstream,3
Row,Cooling Plant,Dependency,Upstream,4
Row,RDHx,Dependency,Local,
Row,DTC,Dependency,Local,
Zone,RPP,Dependency,Upstream,1
Zone,Room PDU,Dependency,Upstream,2
Zone,UPS,Dependency,Upstream,3
Zone,BESS,Dependency,Upstream,4
Zone,Switch Gear,Dependency,Upstream,5
Zone,Utility Feed,Dependency,Upstream,6
Zone,Generator,Dependency,Upstream,6
Zone,Air Zone,Dependency,Upstream,1
Zone,Air Cooling Unit,Dependency,Upstream,2
Zone,Liquid Loop,Dependency,Upstream,1
Zone,CDU,Dependency,Upstream,2
Zone,Cooling Distribution,Dependency,Upstream,3
Zone,Cooling Plant,Dependency,Upstream,4
Zone,RDHx,Dependency,Local,
Zone,DTC,Dependency,Local,
Capacity Cell,RPP,Dependency,Local,
Capacity Cell,Room PDU,Dependency,Upstream,1
Capacity Cell,UPS,Dependency,Upstream,2
Capacity Cell,BESS,Dependency,Upstream,3
Capacity Cell,Switch Gear,Dependency,Upstream,4
Capacity Cell,Utility Feed,Dependency,Upstream,5
Capacity Cell,Generator,Dependency,Upstream,5
Capacity Cell,Air Zone,Dependency,Local,
Capacity Cell,Air Cooling Unit,Dependency,Upstream,1
Capacity Cell,Liquid Loop,Dependency,Local,
Capacity Cell,CDU,Dependency,Upstream,1
Capacity Cell,Cooling Distribution,Dependency,Upstream,2
