From Node Name,From Node ID,From Node Org Path,To Node Name,To Node ID,To Node Org Path
Electrical System,Electrical-System-Root-01,,Utility Feed 01,UTIL-01,Electrical System
Electrical System,Electrical-System-Root-01,,Generator 01,GEN-01,Electrical System
Utility Feed 01,UTIL-01,Electrical System,Switch Gear 01,SWGR-01,Electrical System / Utility Feed 01
Generator 01,GEN-01,Electrical System,Switch Gear 01,SWGR-01,Electrical System / Utility Feed 01
Switch Gear 01,SWGR-01,Electrical System / Utility Feed 01,UPS 01,UPS-01,Electrical System / Utility Feed 01 / Switch Gear 01
Switch Gear 01,SWGR-01,Electrical System / Utility Feed 01,UPS-02-A,UPS-02-A,Electrical System / Utility Feed 01 / Switch Gear 01
Switch Gear 01,SWGR-01,Electrical System / Utility Feed 01,UPS-02-B,UPS-02-B,Electrical System / Utility Feed 01 / Switch Gear 01
Switch Gear 01,SWGR-01,Electrical System / Utility Feed 01,Mechanical Power Panel 01,MECHPP-01,Electrical System / Utility Feed 01 / Switch Gear 01
Switch Gear 01,SWGR-01,Electrical System / Utility Feed 01,BESS 1,BESS-01,Electrical System / Utility Feed 01 / Switch Gear 01
BESS 1,BESS-01,Electrical System / Utility Feed 01 / Switch Gear 01,UPS 01,UPS-01,Electrical System / Utility Feed 01 / Switch Gear 01
BESS 1,BESS-01,Electrical System / Utility Feed 01 / Switch Gear 01,UPS-02-A,UPS-02-A,Electrical System / Utility Feed 01 / Switch Gear 01
BESS 1,BESS-01,Electrical System / Utility Feed 01 / Switch Gear 01,UPS-02-B,UPS-02-B,Electrical System / Utility Feed 01 / Switch Gear 01
BESS 1,BESS-01,Electrical System / Utility Feed 01 / Switch Gear 01,Mechanical Power Panel 01,MECHPP-01,Electrical System / Utility Feed 01 / Switch Gear 01
UPS 01,UPS-01,Electrical System / Utility Feed 01 / Switch Gear 01,Room PDU for ROOM-1-1,RPDU-R1,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01
Room PDU for ROOM-1-1,RPDU-R1,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01,RPP 1 for ROOM-1-1,RPP-R1-1,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1
Room PDU for ROOM-1-1,RPDU-R1,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01,RPP 2 for ROOM-1-1,RPP-R1-2,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1
UPS 01,UPS-01,Electrical System / Utility Feed 01 / Switch Gear 01,Room PDU for ROOM-1-2,RPDU-R2,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01
Room PDU for ROOM-1-2,RPDU-R2,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01,RPP 1 for ROOM-1-2,RPP-R2-1,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-2
Room PDU for ROOM-1-2,RPDU-R2,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01,RPP 2 for ROOM-1-2,RPP-R2-2,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-2
RPP 1 for ROOM-1-1,RPP-R1-1,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1,Rack PDU for RACK-R1-Z1-R1-01,RACKPDU-RACK-R1-Z1-R1-01,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1
Rack PDU for RACK-R1-Z1-R1-01,RACKPDU-RACK-R1-Z1-R1-01,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1,Rack PDU Outlet 1 for RACK-R1-Z1-R1-01,RPDUOUT-RACK-R1-Z1-R1-01-1,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01
Rack PDU Outlet 1 for RACK-R1-Z1-R1-01,RPDUOUT-RACK-R1-Z1-R1-01-1,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01,Device PSU for SRV-R1-Z1-R1-01-001,DPSU-SRV-R1-Z1-R1-01-001,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01 / Rack PDU Outlet 1 for RACK-R1-Z1-R1-01
Device PSU for SRV-R1-Z1-R1-01-001,DPSU-SRV-R1-Z1-R1-01-001,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01 / Rack PDU Outlet 1 for RACK-R1-Z1-R1-01,Server 1 in RACK-R1-Z1-R1-01,SRV-R1-Z1-R1-01-001,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01 / Rack PDU Outlet 1 for RACK-R1-Z1-R1-01 / Device PSU for SRV-R1-Z1-R1-01-001
Rack PDU for RACK-R1-Z1-R1-01,RACKPDU-RACK-R1-Z1-R1-01,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1,Rack PDU Outlet 2 for RACK-R1-Z1-R1-01,RPDUOUT-RACK-R1-Z1-R1-01-2,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01
Rack PDU Outlet 2 for RACK-R1-Z1-R1-01,RPDUOUT-RACK-R1-Z1-R1-01-2,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01,Device PSU for SRV-R1-Z1-R1-01-002,DPSU-SRV-R1-Z1-R1-01-002,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01 / Rack PDU Outlet 2 for RACK-R1-Z1-R1-01
Device PSU for SRV-R1-Z1-R1-01-002,DPSU-SRV-R1-Z1-R1-01-002,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01 / Rack PDU Outlet 2 for RACK-R1-Z1-R1-01,Server 2 in RACK-R1-Z1-R1-01,SRV-R1-Z1-R1-01-002,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01 / Rack PDU Outlet 2 for RACK-R1-Z1-R1-01 / Device PSU for SRV-R1-Z1-R1-01-002
Rack PDU for RACK-R1-Z1-R1-01,RACKPDU-RACK-R1-Z1-R1-01,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1,Rack PDU Outlet 3 for RACK-R1-Z1-R1-01,RPDUOUT-RACK-R1-Z1-R1-01-3,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01
Rack PDU Outlet 3 for RACK-R1-Z1-R1-01,RPDUOUT-RACK-R1-Z1-R1-01-3,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01,Device PSU for SRV-R1-Z1-R1-01-003,DPSU-SRV-R1-Z1-R1-01-003,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01 / Rack PDU Outlet 3 for RACK-R1-Z1-R1-01
Device PSU for SRV-R1-Z1-R1-01-003,DPSU-SRV-R1-Z1-R1-01-003,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01 / Rack PDU Outlet 3 for RACK-R1-Z1-R1-01,Server 3 in RACK-R1-Z1-R1-01,SRV-R1-Z1-R1-01-003,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01 / Rack PDU Outlet 3 for RACK-R1-Z1-R1-01 / Device PSU for SRV-R1-Z1-R1-01-003
Rack PDU for RACK-R1-Z1-R1-01,RACKPDU-RACK-R1-Z1-R1-01,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1,Rack PDU Outlet 4 for RACK-R1-Z1-R1-01,RPDUOUT-RACK-R1-Z1-R1-01-4,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01
Rack PDU Outlet 4 for RACK-R1-Z1-R1-01,RPDUOUT-RACK-R1-Z1-R1-01-4,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01,Device PSU for SRV-R1-Z1-R1-01-004,DPSU-SRV-R1-Z1-R1-01-004,Electrical System / Utility Feed 01 / Switch Gear 01 / UPS 01 / Room PDU for ROOM-1-1 / RPP 1 for ROOM-1-1 / Rack PDU for RACK-R1-Z1-R1-01 / Rack PDU Outlet 4 for RACK-R1-Z1-R1-01
