From Node Name,From Node ID,From Node Org Path,To Node Name,To Node ID,To Node Org Path
Operational Infrastructure,OI-Root-01,,AI Business Unit,BU-AI,Operational Infrastructure
Operational Infrastructure,OI-Root-01,,IT Facility,FAC-01,Operational Infrastructure
IT Facility,FAC-01,Operational Infrastructure,Floor 1,FLOOR-1,Operational Infrastructure / IT Facility
IT Facility,FAC-01,Operational Infrastructure,Floor 2,FLOOR-2,Operational Infrastructure / IT Facility
Floor 1,FLOOR-1,Operational Infrastructure / IT Facility,Room 1 (Floor 1),ROOM-1-1,Operational Infrastructure / IT Facility / Floor 1
Floor 1,FLOOR-1,Operational Infrastructure / IT Facility,Room 2 (Floor 1),ROOM-1-2,Operational Infrastructure / IT Facility / Floor 1
Room 1 (Floor 1),ROOM-1-1,Operational Infrastructure / IT Facility / Floor 1,Zone 1 in ROOM-1-1,ZONE-R1-Z1,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1)
Zone 1 in ROOM-1-1,ZONE-R1-Z1,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1),Row 1 in ZONE-R1-Z1,ROW-R1-Z1-R1,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1
Row 1 in ZONE-R1-Z1,ROW-R1-Z1-R1,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1,Rack 1 in ROW-R1-Z1-R1,RACK-R1-Z1-R1-01,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1
Row 1 in ZONE-R1-Z1,ROW-R1-Z1-R1,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1,Rack 2 in ROW-R1-Z1-R1,RACK-R1-Z1-R1-02,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1
Row 1 in ZONE-R1-Z1,ROW-R1-Z1-R1,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1,Rack 3 in ROW-R1-Z1-R1,RACK-R1-Z1-R1-03,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1
Row 1 in ZONE-R1-Z1,ROW-R1-Z1-R1,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1,Rack 4 in ROW-R1-Z1-R1,RACK-R1-Z1-R1-04,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1
Row 1 in ZONE-R1-Z1,ROW-R1-Z1-R1,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1,Rack 5 in ROW-R1-Z1-R1,RACK-R1-Z1-R1-05,Operational Infrastructure / IT Facility / Floor 1 / Room 1 (Floor 1) / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1
