From Node Name,From Node ID,From Node Org Path,To Node Name,To Node ID,To Node Org Path
Spatial Topology,Spatial-Root-01,,San Jose Site 1,SITE-SJ-01,Spatial Topology
San Jose Site 1,SITE-SJ-01,Spatial Topology,IT Facility,FAC-01,Spatial Topology / San Jose Site 1
IT Facility,FAC-01,Spatial Topology / San Jose Site 1,Floor 1,FLOOR-1,Spatial Topology / San Jose Site 1 / IT Facility
IT Facility,FAC-01,Spatial Topology / San Jose Site 1,Floor 2,FLOOR-2,Spatial Topology / San Jose Site 1 / IT Facility
Floor 1,FLOOR-1,Spatial Topology / San Jose Site 1 / IT Facility,Electrical Room on FLOOR-1,ELECR-FLOOR-1,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1
Floor 1,FLOOR-1,Spatial Topology / San Jose Site 1 / IT Facility,Mechanical Room on FLOOR-1,MECHR-FLOOR-1,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1
Floor 2,FLOOR-2,Spatial Topology / San Jose Site 1 / IT Facility,Electrical Room on FLOOR-2,ELECR-FLOOR-2,Spatial Topology / San Jose Site 1 / IT Facility / Floor 2
Floor 2,FLOOR-2,Spatial Topology / San Jose Site 1 / IT Facility,Mechanical Room on FLOOR-2,MECHR-FLOOR-2,Spatial Topology / San Jose Site 1 / IT Facility / Floor 2
Floor 1,FLOOR-1,Spatial Topology / San Jose Site 1 / IT Facility,Room 1 in Floor 1,ROOM-1-1,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1
Floor 1,FLOOR-1,Spatial Topology / San Jose Site 1 / IT Facility,Room 2 in Floor 1,ROOM-1-2,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1
Floor 1,FLOOR-1,Spatial Topology / San Jose Site 1 / IT Facility,ROOM-1-3,ROOM-1-3,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1
Floor 1,FLOOR-1,Spatial Topology / San Jose Site 1 / IT Facility,ROOM-1-4,ROOM-1-4,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1
Floor 1,FLOOR-1,Spatial Topology / San Jose Site 1 / IT Facility,ROOM-1-5,ROOM-1-5,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1
Room 1 in Floor 1,ROOM-1-1,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1,Zone 1 in ROOM-1-1,ZONE-R1-Z1,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1
Room 1 in Floor 1,ROOM-1-1,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1,Zone 2 in ROOM-1-1,ZONE-R1-Z2,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1
Room 2 in Floor 1,ROOM-1-2,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1,Zone 1 in ROOM-1-2,ZONE-R2-Z1,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 2 in Floor 1
Room 2 in Floor 1,ROOM-1-2,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1,Zone 2 in ROOM-1-2,ZONE-R2-Z2,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 2 in Floor 1
