Node ID,Node Name,Node Role,Org Path,Node Type
Spatial-Root-01,Spatial Topology,,,Spatial Topology
SITE-SJ-01,San Jose Site 1,,Spatial Topology,Site
FAC-01,IT Facility,,Spatial Topology / San Jose Site 1,IT Facility
FLOOR-1,Floor 1,,Spatial Topology / San Jose Site 1 / IT Facility,Floor
FLOOR-2,Floor 2,,Spatial Topology / San Jose Site 1 / IT Facility,Floor
ROOM-1-1,Room 1 in Floor 1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1,Room
ROOM-1-2,Room 2 in Floor 1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1,Room
ZONE-R1-Z1,Zone 1 in ROOM-1-1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1,Zone
ROW-R1-Z1-R1,Row 1 in ZONE-R1-Z1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1,Row
RACK-R1-Z1-R1-01,Rack 1 in ROW-R1-Z1-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1,Rack
RACK-R1-Z1-R1-02,Rack 2 in ROW-R1-Z1-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1,Rack
RACK-R1-Z1-R1-03,Rack 3 in ROW-R1-Z1-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1,Rack
RACK-R1-Z1-R1-04,Rack 4 in ROW-R1-Z1-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1,Rack
RACK-R1-Z1-R1-05,Rack 5 in ROW-R1-Z1-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1,Rack
RACK-R1-Z1-R1-06,Rack 6 in ROW-R1-Z1-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 1 in ZONE-R1-Z1,Rack
ROW-R1-Z1-R2,Row 2 in ZONE-R1-Z1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1,Row
RACK-R1-Z1-R2-01,Rack 1 in ROW-R1-Z1-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 2 in ZONE-R1-Z1,Rack
RACK-R1-Z1-R2-02,Rack 2 in ROW-R1-Z1-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 2 in ZONE-R1-Z1,Rack
RACK-R1-Z1-R2-03,Rack 3 in ROW-R1-Z1-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 2 in ZONE-R1-Z1,Rack
RACK-R1-Z1-R2-04,Rack 4 in ROW-R1-Z1-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 2 in ZONE-R1-Z1,Rack
RACK-R1-Z1-R2-05,Rack 5 in ROW-R1-Z1-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 2 in ZONE-R1-Z1,Rack
RACK-R1-Z1-R2-06,Rack 6 in ROW-R1-Z1-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 1 in ROOM-1-1 / Row 2 in ZONE-R1-Z1,Rack
ZONE-R1-Z2,Zone 2 in ROOM-1-1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1,Zone
ROW-R1-Z2-R1,Row 1 in ZONE-R1-Z2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1,Row
RACK-R1-Z2-R1-01,Rack 1 in ROW-R1-Z2-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 1 in ZONE-R1-Z2,Rack
RACK-R1-Z2-R1-02,Rack 2 in ROW-R1-Z2-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 1 in ZONE-R1-Z2,Rack
RACK-R1-Z2-R1-03,Rack 3 in ROW-R1-Z2-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 1 in ZONE-R1-Z2,Rack
RACK-R1-Z2-R1-04,Rack 4 in ROW-R1-Z2-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 1 in ZONE-R1-Z2,Rack
RACK-R1-Z2-R1-05,Rack 5 in ROW-R1-Z2-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 1 in ZONE-R1-Z2,Rack
RACK-R1-Z2-R1-06,Rack 6 in ROW-R1-Z2-R1,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 1 in ZONE-R1-Z2,Rack
ROW-R1-Z2-R2,Row 2 in ZONE-R1-Z2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1,Row
RACK-R1-Z2-R2-01,Rack 1 in ROW-R1-Z2-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 2 in ZONE-R1-Z2,Rack
RACK-R1-Z2-R2-02,Rack 2 in ROW-R1-Z2-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 2 in ZONE-R1-Z2,Rack
RACK-R1-Z2-R2-03,Rack 3 in ROW-R1-Z2-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 2 in ZONE-R1-Z2,Rack
RACK-R1-Z2-R2-04,Rack 4 in ROW-R1-Z2-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 2 in ZONE-R1-Z2,Rack
RACK-R1-Z2-R2-05,Rack 5 in ROW-R1-Z2-R2,,Spatial Topology / San Jose Site 1 / IT Facility / Floor 1 / Room 1 in Floor 1 / Zone 2 in ROOM-1-1 / Row 2 in ZONE-R1-Z2,Rack
