Node ID,Node Name,Node Role,Org Path,Node Type
Whitespace-Root-01,Whitespace Blueprint,,,Whitespace Blueprint
SITE-SJ-01,San Jose Site 1,,Whitespace Blueprint,Site
Room-Bundles-01,Containment Room,,Whitespace Blueprint / San Jose Site 1,Containment Bundle
Room-PDU-Bundles-01,Containment Room PDU,,Whitespace Blueprint / San Jose Site 1,Containment Bundle
UPS-Bundles-01,Containment UPS,,Whitespace Blueprint / San Jose Site 1,Containment Bundle
BDL-R1R2,Room Bundle 01,,Whitespace Blueprint / San Jose Site 1 / Containment Room,Room Bundle
BDL-R3,Room Bundle 02,,Whitespace Blueprint / San Jose Site 1 / Containment Room,Room Bundle
BDL-R4,Room Bundle 03,,Whitespace Blueprint / San Jose Site 1 / Containment Room,Room Bundle
BDL-R5,Room Bundle 04,,Whitespace Blueprint / San Jose Site 1 / Containment Room,Room Bundle
BDL-RPDU-R1R2,Room PDU Bundle 01,,Whitespace Blueprint / San Jose Site 1 / Containment Room PDU,Room PDU Bundle
BDL-RPDU-R3R4,Room PDU Bundle 02,,Whitespace Blueprint / San Jose Site 1 / Containment Room PDU,Room PDU Bundle
BDL-RPDU-R5,Room PDU Bundle 03,,Whitespace Blueprint / San Jose Site 1 / Containment Room PDU,Room PDU Bundle
BDL-UPS-01,UPS Bundle 01,,Whitespace Blueprint / San Jose Site 1 / Containment UPS,UPS Bundle
BDL-UPS-02,UPS Bundle 02,,Whitespace Blueprint / San Jose Site 1 / Containment UPS,UPS Bundle
CC-R1R2,Capacity Cell R1R2,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01,Capacity Cell
CC-R3,Capacity Cell R3,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 02,Capacity Cell
CC-R4,Capacity Cell R4,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 03,Capacity Cell
CC-R5E,Capacity Cell R5E,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 04,Capacity Cell
CC-R5W,Capacity Cell R5W,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 04,Capacity Cell
RACK-R1-Z1-R1-01,RACK-R1-Z1-R1-01,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R1-02,RACK-R1-Z1-R1-02,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R1-03,RACK-R1-Z1-R1-03,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R1-04,RACK-R1-Z1-R1-04,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R1-05,RACK-R1-Z1-R1-05,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R1-06,RACK-R1-Z1-R1-06,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R2-01,RACK-R1-Z1-R2-01,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R2-02,RACK-R1-Z1-R2-02,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R2-03,RACK-R1-Z1-R2-03,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R2-04,RACK-R1-Z1-R2-04,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R2-05,RACK-R1-Z1-R2-05,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z1-R2-06,RACK-R1-Z1-R2-06,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z2-R1-01,RACK-R1-Z2-R1-01,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z2-R1-02,RACK-R1-Z2-R1-02,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z2-R1-03,RACK-R1-Z2-R1-03,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
RACK-R1-Z2-R1-04,RACK-R1-Z2-R1-04,,Whitespace Blueprint / San Jose Site 1 / Containment Room / Room Bundle 01 / Capacity Cell R1R2,Rack
