Unit Class Name,Unit Name,Unit Abbreviation,Synonyms,Standard Unit,Standard Unit Conversion Factor
Mass,metric ton,MT,"tonne, tonnes, T",kilogram,1000
Mass,kilogram,Kg,kilograms,kilogram,1
Mass,gram,g,"grams, gm",kilogram,0.001
Mass,short ton,ton,"Imperial Ton, Long Ton",kilogram,907.18474
Mass,pound,lb,"pounds, lbs",kilogram,0.45359237
Area,square meter,m2,"meter squared, sq m",square meter,1
Area,hectare,ha,,square meter,10000
Area,square yard,sq yd,,square meter,0.836127
Area,square feet,sq ft,,square meter,0.092903
Area,acre,acre,,square meter,4046.85642
Area,square mile,mi2,,square meter,2589988.11
Area-Related Rate,square meter per hour,m2/hr,,square meter per hour,1
Area-Related Rate,hectare per day,ha/day,,square meter per hour,416.667
Area-Related Rate,hectare per year,ha/year,,square meter per hour,1.142
Volume,liter,Ltr,,cubic meter,0.001
Volume,gallon,Gal,,cubic meter,0.00378541
Volume,cubic meter,m3,,cubic meter,1
Volume,standard cubic foot,scf,,cubic meter,0.0283168
Volume,megaliter,ML,,cubic meter,1000
Volume,kiloliter,KL,,cubic meter,1
Volume,gigaliter,GL,,cubic meter,1000000
Volume,Barrel,BBL,,cubic meter,0.158987
Volume,cubic foot,CF,,cubic meter,0.0283168
Volume,centum cubic feet,CCF,,cubic meter,2.83168
Volume,thousand cubic feet,MCF,,cubic meter,28.3168
Volume,million cubic feet,MMCF,,cubic meter,28316.8
Volume,billion cubic feet,BCF,,cubic meter,28316800
Volume,cubic yard,yd3,,cubic meter,0.764555
Flow Rate,cubic meter per hour,m3/hr,,cubic meter per hour,1
Flow Rate,liter per hour,Ltr/hr,,cubic meter per hour,0.001
Energy,kilowatt hour,kWh,,kilowatt hour,1
Energy,megawatt hour,MWh,,kilowatt hour,1000
Energy,gigawatt hour,GWh,,kilowatt hour,1000000
Energy,megajoule,MJ,,kilowatt hour,0.277778
Energy,gigajoule,GJ,,kilowatt hour,277.778
Energy,terajoule,TJ,,kilowatt hour,277778
Energy,British thermal unit,Btu,,kilowatt hour,0.000293071
Energy,million British thermal units,mmBtu,,kilowatt hour,293.071
Energy,therm,thm,,kilowatt hour,29.3071
Energy,dekatherm,DT,,kilowatt hour,293.071
Power,kilowatt,kW,,kilowatt,1
Power,megawatt,mW,,kilowatt,1000
Power,watt,W,,kilowatt,0.001
Power,gigawatt,GW,,kilowatt,1000000
Power,terawatt,TW,,kilowatt,1000000000
Power,housepower,hp,,kilowatt,0.7457
Power,BTU per hour,BTU/hr,,kilowatt,0.000293071
Power,ton of refrigeration,TR,,kilowatt,3.516853
Speed,kilometer per hour,km/hr,,kilometer per hour,1
